datetime,open,high,low,close,volume
06/09/2021,33409.38,37528.42,32435.18,37391.58,92280.57
06/10/2021,37391.58,38387.2,35821.05,36680.78,63052.49
06/11/2021,36680.78,37665.85,35981.84,37339.98,43119.67
06/12/2021,37339.98,37445.32,34655.21,35541.78,40619.14
06/13/2021,35541.78,39374.68,34802.24,39017.37,46353.98
06/14/2021,39017.37,41025.42,38755.79,40526.63,68729.09
06/15/2021,40526.63,41307.06,39526.69,40161.86,48248.1
06/16/2021,40161.86,40487.98,38122.04,38345.41,48107.62
06/17/2021,38345.41,39537.42,37386.57,38082.3,41591.09
06/18/2021,38082.3,38201.23,35158.89,35830.29,60242.99
06/19/2021,35830.29,36443.26,34863.17,35515.38,44782.25
06/20/2021,35515.38,36139.95,33377.82,35602.26,56525.29
06/21/2021,35602.26,35760.61,31284.7,31652.62,111039.05
06/22/2021,31652.62,33312.87,28908.07,32537.58,129940.61
06/23/2021,32537.58,34831.93,31790.02,33678.64,60338.69
06/24/2021,33678.64,35267.23,32340.83,34649.84,38755.56
06/25/2021,34649.84,35494.5,31290.25,31593.86,91636.1
06/26/2021,31593.86,32680.58,30190.9,32307.35,58331.1
06/27/2021,32307.35,34754.5,32031.15,34713.81,60403.96
06/28/2021,34713.81,35292.57,33890.86,34487.11,41259.21
06/29/2021,34487.11,36624.75,34243.82,35901.41,44215.51
06/30/2021,35901.41,36090.37,34062.04,35056.39,39796.96
07/01/2021,35056.39,35065.41,32757.33,33543.11,36889.93
07/02/2021,33543.11,33968.47,32715.18,33804.54,33082.4
07/03/2021,33804.54,34944.91,33333.05,34682.84,17319.23
07/04/2021,34682.84,35945.36,34390.95,35287.97,15950.93
07/05/2021,35287.97,35290.8,33151.51,33702.79,31526.39
07/06/2021,33702.79,35096.65,33558.75,34237.66,32844.8
07/07/2021,34237.66,35066.82,33807.42,33880.79,21784.2
07/08/2021,33880.79,33934.31,32108.68,32874.01,47884.76
07/09/2021,32874.01,34076.49,32274.31,33804.2,25677.95
07/10/2021,33804.2,34253.5,33030.16,33515.13,19345.51
07/11/2021,33515.13,34595.69,33335.4,34249.3,15724.2
07/12/2021,34249.3,34658.46,32660.38,33088.51,31074.01
07/13/2021,33088.51,33335.54,32206.14,32737.47,25562.97
07/14/2021,32737.47,33099.2,31601.99,32820.5,27262.01
07/15/2021,32820.5,33188.54,31133.75,31867.46,33647.48
07/16/2021,31867.46,32256.94,31046.14,31401.76,25602.04
07/17/2021,31401.76,31966.25,31194.16,31546.64,27922.98
07/18/2021,31546.64,32446.17,31131.67,31806.3,25079.04
07/19/2021,31806.3,31907.17,30487.11,30847.55,38060.99
07/20/2021,30847.55,31063.88,29320.09,29795.55,43333.42
07/21/2021,29795.55,32814.13,29513.88,32139.48,48925.57
07/22/2021,32139.48,32604.4,31738.48,32299.47,24409.69
07/23/2021,32299.47,33637.93,32012.62,33637.92,23478.17
07/24/2021,33637.92,34519.75,33429.09,34282.56,20217.05
07/25/2021,34282.56,35382.63,33892.36,35369.93,22685.72
07/26/2021,35369.93,40553.85,35270.24,37269.52,100269.43
07/27/2021,37269.52,39535.5,36422.45,39496.69,58179.65
07/28/2021,39496.69,40906.09,38809.89,40030.01,66747.14
07/29/2021,40030.01,40633.62,39281.83,40030.52,31540.85
07/30/2021,40030.52,42301.76,38346.18,42231.83,42436.67
07/31/2021,42231.83,42373.59,41065.61,41474.72,25355.65
08/01/2021,41474.72,42584.65,39471.54,39870.76,33625.25
08/02/2021,39870.76,40446.6,38698.01,39158.53,33109.34
08/03/2021,39158.53,39779.45,37679.22,38189.3,38225.1
08/04/2021,38189.3,39961.11,37526.24,39738.56,34035.77
08/05/2021,39738.56,41409.14,37330.04,40888.18,59748.14
08/06/2021,40888.18,43363.62,39895.05,42852.18,48254.57
08/07/2021,42852.18,44731.51,42473.57,44617.96,50446.88
08/08/2021,44617.96,45310.33,43300.59,43827.75,39433.62
08/09/2021,43827.75,46476.01,42818.07,46292.61,49016.22
08/10/2021,46292.61,46707.56,44663.2,45601.03,35319.34
08/11/2021,45601.03,46763.89,45360.51,45556.69,30818.26
08/12/2021,45556.69,46214.21,43786.4,44425.52,35460.2
08/13/2021,44425.52,47890.79,44260.38,47832.93,34442.64
08/14/2021,47832.93,48136.25,46049.28,47102.03,23828.49
08/15/2021,47102.03,47390.93,45595.22,47015.94,18032.86
08/16/2021,47015.94,48064.42,45681.1,45927.4,28459.99
08/17/2021,45927.4,47100.97,44438.79,44684.43,37125.87
08/18/2021,44684.43,46024.97,44240.9,44714.54,30513.78
08/19/2021,44714.54,47044.06,43982.21,46761.49,33300.5
08/20/2021,46761.49,49377.5,46652.0,49336.45,36326.2
08/21/2021,49336.45,49809.82,48330.03,48867.87,22928.52
08/22/2021,48867.87,49512.19,48119.98,49289.71,16835.81
08/23/2021,49289.71,50513.83,49048.25,49521.06,30374.33
08/24/2021,49521.06,49859.97,47580.66,47690.54,28718.08
08/25/2021,47690.54,49257.74,47135.07,48996.44,25061.09
08/26/2021,48996.44,49358.2,46456.68,46852.22,34276.36
08/27/2021,46852.22,49166.31,46376.81,49088.1,27872.76
08/28/2021,49088.1,49306.47,48386.9,48918.9,12815.36
08/29/2021,48918.9,49653.49,47841.49,48794.26,18983.79
08/30/2021,48794.26,48878.11,46872.47,46993.31,29046.26
08/31/2021,46993.31,48252.74,46713.72,47159.26,29947.56
09/01/2021,47159.26,49062.05,46544.74,48840.01,31823.8
09/02/2021,48840.01,50374.89,48632.7,49280.77,32516.15
09/03/2021,49280.77,51056.15,48362.56,50019.51,38496.86
09/04/2021,50019.51,50549.35,49501.12,49935.29,16795.12
09/05/2021,49935.29,51890.18,49499.28,51784.16,21382.07
09/06/2021,51784.16,52766.16,51035.68,52693.32,25623.3
09/07/2021,52693.32,52919.24,43904.42,46856.31,83874.09
09/08/2021,46856.31,47362.35,44475.76,46073.45,45638.83
09/09/2021,46073.45,47335.29,45572.3,46392.85,32273.7
09/10/2021,46392.85,47026.67,44198.27,44853.1,35701.24
09/11/2021,44853.1,45987.63,44741.98,45166.12,14599.26
09/12/2021,45166.12,46403.5,44765.82,46049.72,16366.41
09/13/2021,46049.72,46821.84,43511.3,44958.56,42623.67
09/14/2021,44958.56,47263.56,44776.37,47129.01,26751.25
09/15/2021,47129.01,48457.3,46725.15,48148.45,26904.97
09/16/2021,48148.45,48498.51,47050.55,47764.47,25702.33
09/17/2021,47764.47,48172.36,46770.31,47297.98,18941.92
09/18/2021,47297.98,48808.0,47066.47,48312.46,15782.18
09/19/2021,48312.46,48376.3,46864.5,47251.76,14044.93
09/20/2021,47251.76,47340.49,42552.63,42925.46,64374.41
09/21/2021,42925.46,43625.93,39767.17,40709.59,70924.75
09/22/2021,40709.59,44012.22,40589.07,43576.15,42391.1
09/23/2021,43576.15,44994.17,43108.42,44893.87,34506.88
09/24/2021,44893.87,45143.18,40807.2,42848.41,60130.03
09/25/2021,42848.41,42992.94,41710.08,42721.91,18046.04
09/26/2021,42721.91,43928.49,40825.4,43201.79,27847.04
09/27/2021,43201.79,44360.41,42139.24,42187.51,26251.27
09/28/2021,42187.51,42781.24,40924.13,41056.79,31946.42
09/29/2021,41056.79,42603.18,40790.67,41539.43,26354.27
09/30/2021,41539.43,44106.6,41436.79,43829.34,33984.98
10/01/2021,43829.34,48470.13,43304.82,48164.35,53577.95
10/02/2021,48164.35,48347.69,47468.49,47669.02,16062.18
10/03/2021,47669.02,49185.34,47137.07,48234.05,18588.83
10/04/2021,48234.05,49501.21,46944.28,49276.91,34394.0
10/05/2021,49276.91,51885.03,49087.72,51504.27,40687.89
10/06/2021,51504.27,55656.67,50439.32,55345.85,64415.98
10/07/2021,55343.24,55359.77,53391.93,53797.21,33806.76
10/08/2021,53796.22,56047.91,53666.09,53949.29,29127.91
10/09/2021,53949.29,55485.2,53696.32,54968.04,14593.95
10/10/2021,54968.04,56473.63,54131.52,54700.24,23094.98
10/11/2021,54700.24,57825.98,54448.68,57498.8,31803.75
10/12/2021,57498.8,57646.93,54098.22,56010.9,33966.65
10/13/2021,56010.9,57768.98,54279.61,57369.0,34054.43
10/14/2021,57369.0,58514.76,56854.38,57359.21,28061.61
10/15/2021,57359.21,62889.98,56885.66,61684.96,62053.36
10/16/2021,61684.96,62341.46,60153.79,60877.77,22943.96
10/17/2021,60877.77,61698.1,59050.3,61520.54,23336.32
10/18/2021,61520.54,62662.72,59925.93,62038.16,50489.09
10/19/2021,62038.16,64468.7,61410.11,64283.97,42983.11
10/20/2021,64283.97,66980.66,63543.7,66021.02,45364.94
10/21/2021,66021.02,66645.73,62076.16,62283.96,62097.42
10/22/2021,62283.96,63731.17,60017.23,60693.59,40476.42
10/23/2021,60693.59,61733.43,59705.11,61313.09,16232.5
10/24/2021,61313.09,61481.25,59529.34,60863.56,19158.07
10/25/2021,60863.56,63709.97,60658.35,63089.04,24693.91
10/26/2021,63089.04,63290.04,59868.68,60315.68,28107.19
10/27/2021,60315.68,61473.0,58128.18,58464.42,45852.35
10/28/2021,58464.42,62252.08,58145.43,60610.11,51251.1
10/29/2021,60610.11,62967.45,60269.97,62282.5,35214.62
10/30/2021,62282.5,62371.52,60774.38,61891.91,15917.35
10/31/2021,61891.91,62420.57,60022.06,61349.75,19359.29
11/01/2021,61349.75,62482.31,59554.88,60960.98,31925.65
11/02/2021,60960.98,64283.57,60677.48,63260.05,36009.96
11/03/2021,63260.05,63553.52,61057.89,62929.93,29618.09
11/04/2021,62929.93,63102.86,60745.84,61448.47,23030.57
11/05/2021,61448.47,62621.97,60789.16,61019.66,20540.56
11/06/2021,61019.66,61594.16,60130.85,61529.76,15432.25
