trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
188,2664,2022-04-18,CLOSE_LONG,38835.702566,0.370429,-1601.847007,14.385887,-1616.232894,14517.005564,SL Long
189,2682,2022-05-06,SHORT,36552.970000,0.393178,0.000000,14.371836,-14.371836,14502.633728,Short Entry
190,2756,2022-07-19,CLOSE_SHORT,22432.580000,0.393178,5551.831285,8.820004,5543.011280,20045.645009,Reverse to Long
191,2756,2022-07-19,LONG,22432.580000,0.884659,0.000000,19.845189,-19.845189,20025.799820,Long Entry
192,2788,2022-08-20,CLOSE_LONG,20834.390000,0.884659,-1413.853507,18.431335,-1432.284842,18593.514978,Reverse to Short
193,2788,2022-08-20,SHORT,20834.390000,0.883519,0.000000,18.407580,-18.407580,18575.107398,Short Entry
194,2809,2022-09-10,CLOSE_SHORT,21361.620000,0.883519,-465.817733,18.873398,-484.691130,18090.416268,Reverse to Long
195,2809,2022-09-10,LONG,21361.620000,0.838397,0.000000,17.909512,-17.909512,18072.506756,Long Entry
196,2813,2022-09-14,CLOSE_LONG,20173.620000,0.838397,-996.015301,16.913497,-1012.928798,17059.577958,Reverse to Short
197,2813,2022-09-14,SHORT,20173.620000,0.837182,0.000000,16.888982,-16.888982,17042.688976,Short Entry
198,2904,2022-12-14,CLOSE_SHORT,17775.820000,0.837182,2007.393887,14.881588,1992.512299,19035.201274,Reverse to Long
199,2904,2022-12-14,LONG,17775.820000,1.060140,0.000000,18.844849,-18.844849,19016.356425,Long Entry
200,2909,2022-12-19,CLOSE_LONG,16486.123511,1.060140,-1367.258215,17.477591,-1384.735807,17631.620619,SL Long
201,2934,2023-01-13,LONG,18846.620000,0.926177,0.000000,17.455304,-17.455304,17614.165314,Long Entry
202,3078,2023-06-06,CLOSE_LONG,25728.200000,0.926177,6373.560550,23.828865,6349.731685,23963.896999,Reverse to Short
203,3078,2023-06-06,SHORT,25728.200000,0.922111,0.000000,23.724258,-23.724258,23940.172741,Short Entry
204,3079,2023-06-07,CLOSE_SHORT,27230.070000,0.922111,-1384.890953,25.109149,-1410.000102,22530.172640,Reverse to Long
205,3079,2023-06-07,LONG,27230.070000,0.819126,0.000000,22.304871,-22.304871,22507.867769,Long Entry
206,3086,2023-06-14,CLOSE_LONG,25010.374174,0.819126,-1818.211590,20.486659,-1838.698249,20669.169520,SL Long
207,3093,2023-06-21,LONG,28308.000000,0.722851,0.000000,20.462478,-20.462478,20648.707042,Long Entry
208,3117,2023-07-15,CLOSE_LONG,30312.000000,0.722851,1448.594233,21.911072,1426.683161,22075.390203,Reverse to Short
209,3117,2023-07-15,SHORT,30312.000000,0.720990,0.000000,21.854636,-21.854636,22053.535567,Short Entry
210,3142,2023-08-09,CLOSE_SHORT,29770.410000,0.720990,390.480749,21.464156,369.016594,22422.552161,Reverse to Long
211,3142,2023-08-09,LONG,29770.410000,0.745651,0.000000,22.198327,-22.198327,22400.353834,Long Entry
212,3150,2023-08-17,CLOSE_LONG,27869.831399,0.745651,-1417.167737,20.781159,-1437.948896,20962.404938,SL Long
213,3151,2023-08-18,SHORT,26623.410000,0.779494,0.000000,20.752781,-20.752781,20941.652157,Short Entry
214,3196,2023-10-02,CLOSE_SHORT,28327.873411,0.779494,-1328.618524,22.081399,-1350.699924,19590.952233,SL Short
215,3211,2023-10-17,LONG,28500.770000,0.680509,0.000000,19.395043,-19.395043,19571.557191,Long Entry
216,3242,2023-11-17,CLOSE_LONG,36163.510000,0.680509,5214.566820,24.609610,5189.957210,24761.514401,Reverse to Short
217,3242,2023-11-17,SHORT,36163.510000,0.677863,0.000000,24.513899,-24.513899,24737.000502,Short Entry
218,3248,2023-11-23,CLOSE_SHORT,37408.350000,0.677863,-843.830766,25.357730,-869.188496,23867.812006,Reverse to Long
219,3248,2023-11-23,LONG,37408.350000,0.631654,0.000000,23.629134,-23.629134,23844.182872,Long Entry
220,3290,2024-01-04,CLOSE_LONG,42845.230000,0.631654,3434.226996,27.063361,3407.163635,27251.346507,Reverse to Short
221,3290,2024-01-04,SHORT,42845.230000,0.629681,0.000000,26.978833,-26.978833,27224.367674,Short Entry
222,3295,2024-01-09,CLOSE_SHORT,46951.040000,0.629681,-2585.351100,29.564184,-2614.915284,24609.452390,Reverse to Long
223,3295,2024-01-09,LONG,46951.040000,0.518910,0.000000,24.363358,-24.363358,24585.089032,Long Entry
224,3299,2024-01-13,CLOSE_LONG,42782.740000,0.518910,-2162.971994,22.200386,-2185.172380,22399.916653,Reverse to Short
225,3299,2024-01-13,SHORT,42782.740000,0.518338,0.000000,22.175917,-22.175917,22377.740735,Short Entry
226,3326,2024-02-09,CLOSE_SHORT,46509.809096,0.518338,-1931.881332,24.107799,-1955.989131,20421.751604,SL Short
227,3346,2024-02-29,LONG,62432.110000,0.323832,0.000000,20.217534,-20.217534,20401.534070,Long Entry
228,3390,2024-04-13,CLOSE_LONG,67116.520000,0.323832,1516.963288,21.734497,1495.228791,21896.762861,Reverse to Short
229,3390,2024-04-13,SHORT,67116.520000,0.322987,0.000000,21.677795,-21.677795,21875.085066,Short Entry
230,3423,2024-05-16,CLOSE_SHORT,66206.510000,0.322987,293.921831,21.383873,272.537957,22147.623023,Reverse to Long
231,3423,2024-05-16,LONG,66206.510000,0.331178,0.000000,21.926147,-21.926147,22125.696876,Long Entry
232,3450,2024-06-12,CLOSE_LONG,67314.230000,0.331178,366.852615,22.292999,344.559616,22470.256492,Reverse to Short
233,3450,2024-06-12,SHORT,67314.230000,0.330473,0.000000,22.245554,-22.245554,22448.010938,Short Entry
234,3589,2024-10-29,CLOSE_SHORT,72636.260975,0.330473,-1758.788997,24.004343,-1782.793340,20665.217598,SL Short
235,3598,2024-11-07,LONG,75571.990000,0.270716,0.000000,20.458565,-20.458565,20644.759033,Long Entry
