bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
1095,2017-12-31,12897.700195,14377.400391,12755.599609,14156.400391,17025.700195,8769.700195,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-1274.581015,165989.929346
1096,2018-01-01,14112.200195,14112.200195,13154.700195,13657.200195,18240.200195,9984.200195,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-7074.723429,160189.786932
1097,2018-01-02,13625.000000,15444.599609,13163.599609,14982.099609,17753.000000,9497.000000,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,8319.111266,175583.621627
1098,2018-01-03,14978.200195,15572.799805,14844.500000,15201.000000,19106.200195,10850.200195,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,10862.486553,178126.996914
1099,2018-01-04,15270.700195,15739.700195,14522.200195,15599.200195,19398.700195,11142.700195,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,15489.123049,182753.633410
1100,2018-01-05,15477.200195,17705.199219,15202.799805,17429.500000,19605.200195,11349.200195,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,36755.139425,204019.649786
1101,2018-01-06,17462.099609,17712.400391,16764.599609,17527.000000,21590.099609,13334.099609,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,37887.979297,205152.489658
1102,2018-01-07,17527.300781,17579.599609,16087.700195,16477.599609,21296.300781,13758.300781,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,25695.132074,192959.642435
1103,2018-01-08,16476.199219,16537.900391,14208.200195,15170.099609,20148.599609,12803.798828,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,10503.458917,177767.969278
1104,2018-01-09,15123.700195,15497.500000,14424.000000,14595.400391,18174.549805,12072.850586,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,3826.103127,171090.613488
1105,2018-01-10,14588.500000,14973.299805,13691.200195,14973.299805,17528.200195,11648.799805,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,8216.867475,175481.377836
1106,2018-01-11,14968.200195,15018.799805,13105.900391,13405.799805,17907.900391,12028.500000,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-9995.712007,157268.798354
1107,2018-01-12,13453.900391,14229.900391,13158.099609,13980.599609,16135.050781,10772.750000,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-3317.187523,163947.322838
1108,2018-01-13,13952.400391,14659.500000,13952.400391,14360.200195,16633.550781,11271.250000,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,1093.342520,168357.852881
1109,2018-01-14,14370.799805,14511.799805,13268.000000,13772.000000,17051.950195,11689.649414,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-5740.879367,161523.630994
1110,2018-01-15,13767.299805,14445.500000,13641.700195,13819.799805,16448.450195,11086.149414,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-5185.499627,162079.010734
1111,2018-01-16,13836.099609,13843.099609,10194.900391,11490.500000,16517.250000,11154.949219,False,True,SHORT,STOP_LOSS,10218.731373,Stop loss triggered,0.000000,0.000000,120119.932909,0.000000,120119.932909
1112,2018-01-17,11431.099609,11678.000000,9402.290039,11188.599609,15189.849609,7672.349609,False,False,,SHORT_ENTRY,11431.099609,Short Entry,-10.403088,11431.099609,120001.014175,2522.748806,122523.762981
1113,2018-01-18,11198.799805,12107.299805,10942.500000,11474.900391,15353.854980,7043.744629,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-455.663376,119545.350800
1114,2018-01-19,11429.799805,11992.799805,11172.099609,11607.400391,15584.854980,7274.744629,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-1834.072517,118166.941658
1115,2018-01-20,11656.200195,13103.000000,11656.200195,12899.200195,15811.255371,7501.145020,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-15272.779384,104728.234792
1116,2018-01-21,12889.200195,12895.900391,11288.200195,11600.099609,17044.255371,8734.145020,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-1758.121848,118242.892327
1117,2018-01-22,11633.099609,11966.400391,10240.200195,10931.400391,15788.154785,7478.044434,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,5198.414877,125199.429052
1118,2018-01-23,10944.500000,11377.599609,10129.700195,10868.400391,15099.555176,6789.444824,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,5853.809412,125854.823587
1119,2018-01-24,10903.400391,11501.400391,10639.799805,11359.400391,15058.455566,6748.345215,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,745.893272,120746.907447
1120,2018-01-25,11421.700195,11785.700195,11057.400391,11259.400391,15576.755371,7266.645020,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,1786.202058,121787.216234
1121,2018-01-26,11256.000000,11656.700195,10470.299805,11171.400391,15411.055176,7100.944824,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,2701.673790,122702.687965
1122,2018-01-27,11174.900391,11614.900391,10989.200195,11440.700195,15263.555176,7086.245605,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-99.875739,119901.138436
1123,2018-01-28,11475.299805,12040.299805,11475.299805,11786.299805,15043.104980,7907.494629,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-3695.178840,116305.835335
1124,2018-01-29,11755.500000,11875.599609,11179.200195,11296.400391,14803.104980,8707.895020,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,1401.287807,121402.301983
1125,2018-01-30,11306.799805,11307.200195,10036.200195,10106.299805,14115.054688,8498.544922,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,13782.008766,133783.022941
1126,2018-01-31,10108.200195,10381.599609,9777.419922,10221.099609,12916.455078,7299.945312,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,12587.736311,132588.750487
1127,2018-02-01,10237.299805,10288.799805,8812.280273,9170.540039,12865.904785,7608.694824,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,23516.799824,143517.813999
1128,2018-02-02,9142.280273,9142.280273,7796.490234,8830.750000,12065.890137,6218.670410,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,27051.665455,147052.679630
1129,2018-02-03,8852.120117,9430.750000,8251.629883,9174.910156,12209.774902,5494.465332,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,23471.337111,143472.351286
1130,2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,12500.205078,5851.195312,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,32812.273765,152813.287940
1131,2018-02-05,8270.540039,8364.839844,6756.680176,6955.270020,11293.844727,5247.235352,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,46562.448472,166563.462648
1132,2018-02-06,7051.750000,7850.700195,6048.259766,7754.000000,10224.909912,3878.590088,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,38253.190309,158254.204484
1133,2018-02-07,7755.490234,8509.110352,7236.790039,7621.299805,11282.860352,4228.120117,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,39633.682100,159634.696275
1134,2018-02-08,7637.859863,8558.769531,7637.859863,8265.589844,11165.229980,4110.489746,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,32931.076215,152932.090391
1135,2018-02-09,8271.839844,8736.980469,7884.709961,8736.980469,11799.209961,4744.469727,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,28027.158127,148028.172302
1136,2018-02-10,8720.080078,9122.549805,8295.469727,8621.900391,12143.900391,5296.259766,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,29224.346291,149225.360466
1137,2018-02-11,8616.129883,8616.129883,7931.100098,8129.970215,11612.149902,5620.109863,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,34341.939131,154342.953306
1138,2018-02-12,8141.430176,8985.919922,8141.430176,8926.570312,11137.450195,5145.410156,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,26054.838325,146055.852500
1139,2018-02-13,8926.719727,8958.469727,8455.410156,8598.309570,11922.739746,5930.699707,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,29469.763667,149470.777842
1140,2018-02-14,8599.919922,9518.540039,8599.919922,9494.629883,11595.939941,5603.899902,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,20145.264705,140146.278880
1141,2018-02-15,9488.320312,10234.799805,9395.580078,10166.400391,12484.340332,6492.300293,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,13156.777090,133157.791265
1142,2018-02-16,10135.700195,10324.099609,9824.820312,10233.900391,13131.720215,7139.680176,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,12454.568659,132455.582835
1143,2018-02-17,10207.500000,11139.500000,10149.400391,11112.700195,13203.520020,7211.479980,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,3312.337079,123313.351255
1144,2018-02-18,11123.400391,11349.799805,10326.000000,10551.799805,14037.070312,8209.730469,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,9147.433124,129148.447299
1145,2018-02-19,10552.599609,11273.799805,10513.200195,11225.299805,13203.369629,7901.829590,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,2140.953450,122141.967625
1146,2018-02-20,11231.799805,11958.500000,11231.799805,11403.700195,13882.569824,8581.029785,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,285.038512,120286.052687
1147,2018-02-21,11372.200195,11418.500000,10479.099609,10690.400391,14327.320312,8417.080078,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,7705.559051,127706.573226
1148,2018-02-22,10660.400391,11039.099609,9939.089844,10005.000000,13615.520508,7705.280273,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,14835.839534,134836.853710
1149,2018-02-23,9937.070312,10487.299805,9734.559570,10301.099609,12892.190430,6981.950195,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,11755.489282,131756.503458
1150,2018-02-24,10287.700195,10597.200195,9546.969727,9813.070312,13242.820312,7332.580078,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,16832.500936,136833.515112
1151,2018-02-25,9796.419922,9923.219727,9407.059570,9664.730469,12751.540039,6841.299805,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,18375.693364,138376.707539
1152,2018-02-26,9669.429688,10475.000000,9501.730469,10366.700195,12624.549805,6714.309570,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,11073.040623,131074.054799
1153,2018-02-27,10393.900391,10878.500000,10246.099609,10725.599609,12754.755371,8033.045410,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,7339.378486,127340.392661
1154,2018-02-28,10687.200195,11089.799805,10393.099609,10397.900391,12847.520264,8526.880127,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,10748.462250,130749.476425
1155,2018-03-01,10385.000000,11052.299805,10352.700195,10951.000000,12421.895020,8348.104980,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,4994.518418,124995.532593
1156,2018-03-02,10977.400391,11189.000000,10850.099609,11086.400391,12991.100342,8963.700439,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,3585.936258,123586.950433
1157,2018-03-03,11101.900391,11528.200195,11002.400391,11489.700195,13115.600342,9088.200439,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-609.627044,119391.387131
1158,2018-03-04,11497.400391,11512.599609,11136.099609,11512.599609,13405.935303,9588.865479,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-847.851661,119153.162515
1159,2018-03-05,11532.400391,11704.099609,11443.900391,11573.299805,13283.945312,9780.855469,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,-1479.321126,118521.693050
1160,2018-03-06,11500.099609,11500.099609,10694.299805,10779.900391,13179.389648,9820.809570,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,6774.482687,126775.496863
1161,2018-03-07,10803.900391,10929.500000,9692.120117,9965.570312,12085.360352,9522.440430,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,15246.030038,135247.044213
1162,2018-03-08,9951.440430,10147.400391,9335.870117,9395.009766,11227.160645,8675.720215,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,21181.621537,141182.635712
1163,2018-03-09,9414.690430,9466.349609,8513.030273,9337.549805,10726.005371,8103.375488,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,21779.382559,141780.396734
1164,2018-03-10,9350.589844,9531.320312,8828.469727,8866.000000,11073.324707,7627.854980,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,26684.956608,146685.970783
1165,2018-03-11,8852.780273,9711.889648,8607.120117,9578.629883,10575.515137,7130.045410,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,19271.405325,139272.419500
