date,action,price,size,commission,equity,comment,pnl,net_pnl
2021-09-07,ENTRY_SHORT,46811.12890625,62.108736108212014,2907.3800521657768,2933840.1473880126,Short,,
2021-10-01,CLOSE_Short,48116.94140625,62.108736108212014,2988.482416135081,2849749.3010025728,Reverse to Long,-81102.3639693046,-84090.84638543968
2021-10-01,ENTRY_LONG,48116.94140625,58.63323240296585,2821.2518079925467,2846928.0491945804,Long,,
2021-12-04,CLOSE_Long,49200.703125,58.63323240296585,2884.7962607174536,2907587.7056587692,Reverse to Short,63544.45272490646,60659.65646418901
2021-12-04,ENTRY_SHORT,49200.703125,58.50550186831668,2878.5118286021816,2904709.193830167,Short,,
2022-02-28,CLOSE_Short,43193.234375,58.50550186831668,2527.0418544252025,3253652.126152721,Reverse to Long,351469.97417697904,348942.9323225538
2022-02-28,ENTRY_LONG,43193.234375,74.57454046913323,3221.115604891194,3250431.01054783,Long,,
2022-03-07,CLOSE_LONG,37829.72355629927,74.57454046913323,2821.134250285362,2847628.521691713,Stop Loss: SL Long,-399981.3546058313,-402802.48885611666
2022-05-05,ENTRY_SHORT,36575.140625,77.07837039860446,2819.1522364747957,2844809.3694552383,Short,,
2022-07-18,CLOSE_Short,22485.689453125,77.07837039860446,1733.1603003359626,3929068.1452937354,Reverse to Long,1085991.936138833,1084258.775838497
2022-07-18,ENTRY_LONG,22485.689453125,172.9890236165388,3889.7774638407977,3925178.3678298946,Long,,
2022-08-19,CLOSE_Long,20877.552734375,172.9890236165388,3611.5874630223307,3643376.779548405,Reverse to Short,-278190.00081846694,-281801.58828148927
2022-08-19,ENTRY_SHORT,20877.552734375,172.76656213704925,3606.943011752921,3639769.8365366524,Short,,
2022-09-09,CLOSE_Short,21381.15234375,172.76656213704925,3693.9481849582007,3549070.7151464145,Reverse to Long,-87005.17320527967,-90699.12139023788
2022-09-09,ENTRY_LONG,21381.15234375,164.33071293381516,3513.580007994951,3545557.1351384195,Long,,
